pair_id,job_title,full_job_description,full_resume_text,gold_standard_pct,ai_score_pct,error_margin
10,Executive Assistant,"we are seeking for an individual who would like to become the righthand person of our ceo the ideal candidate for this role is for someone with  years of experience and loves working in a fastpaced environment

responsibilities includes but not limited to
 running ceos forever changing calendar and strategically structuring schedule so that he is on time and prepared organizing all agendas and materials as well as circulating and following up on any resulting actions
 managing many projects from start to finish
 being able to juggle many balls and having a keen eye for attention to detail and being organized
 assist in managing his strategic initiatives financial and operational projects and support with any adhoc projects as needed
 attend to important meetings and to ensure that all important items are jotted down and all necessary next steps and recaps are sent in a follow up email to all attendees
 ensure that all actionable items are managed and completed on time
 booking restaura","SKILLS 1. MS-Office 2. Good Communication skills and Convincing Power 3. Knowledge of sales and marketing 4. Customer sales management 5. Talent management 6. Direct sales management STRENGTHS 1. Dedication and dependability 2. Flexibility: able to work in taxing and demanding conditions on reasonably stretchable time slots 3. Team work: able to work cooperatively in a team and lead the team to success Education Details 

Sales manager 


Skill Details 
AND MARKETING- Exprience - 6 months
DIRECT SALES- Exprience - 36 months
MARKETING- Exprience - 6 months
OF SALES- Exprience - 36 months
SALES- Exprience - 36 monthsCompany Details 
company - Bajaj finance
description - 
company - Bajaj finance
description - SBI BANK AS A OFFICE ASSISTENCE FOR 1 YEAR
K G N SHOPE AS A OFFICE ASSISTENCE 6 MONTH
VODAFONE AS A TELLE CALLER 1 YEAR
Bajaj Finserv Ltd AS An Assistant Sales Manager 11 MONTH
Square Capital AS A Sales Manager 5 MONTH
At present working in Bajaj Housing Finance Ltd AS An Assistant S",9,11,2
11,"Vice President, Marketing","responsibilities

the vice president marketing msnbc is the daytoday marketing lead for msnbc working in the nbc news and msnbc marketing department as part of the nbcuniversal news group the vp marketing collaborates with msnbc editorial leadership to expand the brand and our content offering to reach news consumers wherever theyre consuming news this includes assisting in the visioning development and marketing of msnbc product extensions that go beyond television such as msnbc digital products including msnbccom and msnbc daily the msnbc daily newsletter msnbcs presence on the nbcu streaming service  peacock audio including podcasts showcasts and msnbc on sirius xm radio and collaborating with the msnbc social lead and individual show social leads on social accounts the vp marketing msnbc is responsible for articulating and evolving the msnbc brand promise and helping to ensure that msnbcbranded products live into that promise at every touchpoint

the successful candidate has except","Technical Skills Programming Languages: C, C++, Java, .Net., J2EE, HTML5, CSS, MapReduce Scripting Languages: Javascript, Python Databases: Oracle (PL-SQL), MY-SQL, IBM DB2 Tools:IBM Rational Rose, R, Weka Operating Systems: Windows XP, Vista, UNIX, Windows 7, Red Hat 7Education Details 
January 2015 B.E  Pimpri Chinchwad, MAHARASHTRA, IN Pimpri Chinchwad College of Engineering
January 2012 Diploma MSBTE  Dnyanganaga Polytechnic
 S.S.C   New English School Takali
Hadoop/Big Data Developer 

Hadoop/Big Data Developer - British Telecom
Skill Details 
APACHE HADOOP MAPREDUCE- Exprience - 37 months
MapReduce- Exprience - 37 months
MAPREDUCE- Exprience - 37 months
JAVA- Exprience - 32 months
.NET- Exprience - 6 monthsCompany Details 
company - British Telecom
description - Project: British Telecom project (UK)
Responsibilities:
â¢ Working on HDFS, MapReduce, Hive, Spark, Scala, Sqoop, Kerberos etc. technologies
â¢ Implemented various data mining algorithms on Spark like K-means clustering",5,11,6
12,Art director,"coach is a global fashion house founded in new york in  inspired by the vision of creative director stuart vevers and the inclusive and courageous spirit of our hometown we make beautiful things crafted to last for you to be yourself in

coach is part of the tapestry portfolio a global house of brands powered by optimism innovation and inclusivity

primary purpose  the art director for concept graphics will ideate and create proof of concept branding for customerfirst campaigns

to drive brand awareness and new customer acquisition for coach globally working directly with the dvp of the creative studio and concept team this person will create strong brands identities for global initiatives

including product collaborations physical and digital experiential activations  store graphics and popups across digital and physical consumer touchpoints for both retail and outlet channels

this person will report to the dvp of creative studio and partner closely with art director of concept copy ","QUALIFICATION: Introduction to Computer EXTRAEducation Details 
January 2001 to January 2003 Master Law Chennai, Tamil Nadu Dr.Ambedkar Law University
January 1998 to January 2001 Bachelor Law Chennai, Tamil Nadu Dr. Ambedkar Law University
January 1995 to January 1998 Bachelor English Literature Tirunelveli, Tamil Nadu Manonmaniam Sundaranar university
Advocate 

Advocate
Skill Details 
Company Details 
company - Practiced
description - at

* High Court of Judicature at Madras, India

* City Civil Court, Chennai

* Debt Recovery Tribunal, Chennai

* Consumer Forums, Chennai

* Labour Courts

* Small Causes Courts

* Rent control Courts
* Legal advisor for Christian Institute of Management, Chennai in 2016
* Legal Advisor for Ruah church, Chennai and NESSA Trust till 2018",5,5,0
13,Remote Customer Service Associate,"join the conduent customer service representative team
work from home
payrate 
enjoy a positive employeefriendly culture while playing an important role in supporting our clients
we offer excellent training career opportunities a great culture and great benefits

from the start our paid training program will teach you all the skills needed to allow you to become successful in your role we also offer a full benefits package so youll be able to thrive both personally and professionally

about the role

as a customer service representative you will be supporting our clients customers as the first point of contact you will answer questions concerning their accounts you will help customers with their account issues while providing them with exceptional customer service

as a customer service representative you will be responsible for
 providing customers with appropriate customized solutions to meet their needs
 performing routine call center activities concerning business products and serv","Skills: 1) MC Office 2) AutoCAD 2016 3) Introductory Knowledge of EPLAN 4) SAP-ERP for Product specific coding Strengths: 1. Ability to complete the work within stipulated time. 2. Keeping calm under pressure. 3. Multi-Tasking 4. Experienced in a project engineering role. 5. Good interpersonal skills, team spirit, flexibility, can cope with stress. 6. Fluent in English. 7. Good knowledge of international standards and rules like ISO, ATEX, NFPA, IEC, NEC, Shell DEP etc. College Final Year Project: Topic: Study & Control of State Power Grid, Maharashtra. â¢ Supervisor: Prof. Jawaleker â¢ Place: Shri Sant Gajanan Maharaj College of Engineering, Shegaon, Maharashtra. â¢ Description: The project aims to study of Power Grid network & Operation for Maharashtra state at Regional Power Grid Centre, Nagpur, India. Education Details 
  Thermal Power Plant Engineering Nangal, Punjab National Power Training Institute
 B.E. Electrical Engineering Shegaon, Maharashtra Shri Sant Gajanan Maharaj Co",14,7,7
14,R0049: PM Full Time Material Handler,"provides safe and efficient operation of equipment used for the movement of packagesdocumentsheavyweight dangerous goods and ulds assists in the buildupbreakdown of pallets containing heavyweight freight serves as liaison between company and uld repair vendor as required

knowledge skills and abilities
ability to lift  lbs ability to maneuver packages of any weight above  lbs with appropriate equipment andor assistance from another person clerical experience including typing andor general office administration duties preferred good human relations and communication skills ability to successfully complete all basic and recurrency training experience dealing with the movement of heavyweight freight using forklifts tugs and other loadingunloading equipment preferred the ability to communicate both timely and effectively in a noisy operations environment is required since operating motorized conveyances is required in this job employee must possess a valid drivers license see policy  nonco","Operating Systems Windows XP, 7, 10. Tools/Packages Visual Basic 6.0, UML, Packet Tracer Web technologies Core java, Advance java, JSP, Hibernate, Spring Languages known C, C++ Databases SQL AREAS OF INTEREST â¢ Software Development â¢ Programming Academic Projects Details Diploma: Title: Banking Software Description: We used GSM technology for transaction of message for a security purpose. Environment/OS: Windows XP Technologies used frontend: visual basic 6.0 Backend: oracle 9i BE: Title: Single Sign On Description: We have created ""single sign on"" mechanism for network security. Environment/OS: Windows 7 Technologies Used Frontend: java Backend: Oracle 10g ME: Title: Text Based Graphical Password To Overcome Shoulder Surfing Attacks Description: I have created a most secure password system using Random Printing Algo. Environment/OS: Windows 10 Technologies used: Frontend: Java Backend: MySQL Company: Title: Agriculture Management System Description: Created Web application for Agr",11,13,2
15,Sales Associate,"sales associate stylist

stylists must provide excellent customer service and show a passion and knowledge for the breadth of product carried at what goes around comes around they must consistently meet personal sales goals and are an integral part of the stores success stylists should build a loyal client base by converting new customers and turning them into repeat clients they must have a professional and courteous demeanor with all coworkers and customers

responsibilities

selling  client service
 greet all customers and provide excellent and attentive customer service
 consistently sell merchandise from all categories carried in store
 build and maintain a client book
 meet or exceeds personal weekly and monthly sales goals
 meet minimum client outreach requirements

product knowledge
 stylists must consistently build their product knowledge in all areas of the store
 must have a passion and knowledge of current fashion trends
 independently researches and gains knowledge to assi","â Willingness to accept the challenges. â Positive thinking. â Good learner. â Team Player. DECLARATION: I hereby declare that the above mentioned information is correct up to my knowledge and I bear the responsibility for the correctness of the above mentioned particulars. Date: / / Name: Dongare Mandakini Murlidhar Signature: Education Details 
June 2015 Electronics and Telecommunication Engineering  Kolhapur, Maharashtra Shivaji University
June 2012  Education  Secondary and Higher Secondary
 B.E. Electronics and Telecommunication  Jaywant College of Engineering and Management
Testing Engineer 

Electronics Engineer - Abacus Electronics Pvt Ltd
Skill Details 
Language - C, C++- Exprience - Less than 1 year months
Operating Systems- Windows 7-8/NT/XP- Exprience - Less than 1 year monthsCompany Details 
company - Abacus Electronics Pvt Ltd
description - Duties:
â Perform electronic system testing for acceptance, compliance, warranty and other types.
â Develop test plan and",5,4,1
16,MARKETING SPECIALIST,"marketing specialist job description
the marketing specialist will be responsible for creating developing and implementing maryhavens strategic messaging through all available channels which include social media print radio and television to support and increase patient population recruiting and retention the marketing specialist will also have an active role in fundraising marketing projects and grant writing opportunities for local state and federal funding sources

marketing specialist requirements
 bachelors degree in business administration marketing communications or a related field required
 strong knowledge of various marketing and analytic tools such as google analytics crm systems eg blackbaud and content management systems
 strong written and verbal communication skills
 thorough understanding of state local and federal funding sources and the ability to locate potential sources for funding
  years of experience in marketing preferred
  years of experience in grant writing e","Core skills â¢ Project / Program Management â¢ Agile / Scrum Management â¢ Risk /Client Management â¢ Process Improvements â¢ Proposals/RFE â¢ Selenium â¢ RALLY / IBM TD Platform â¢ Python â¢ DevOps / DevSecOps â¢ SAFe - Agile Craft â¢ Delivery / Test Management â¢ Project / Program Finance â¢ Profit Maximization â¢ Internal / External Audits â¢ Software Testing / Quality Assurance â¢ Visual Basic 6.0 â¢ MS-SQL Server / Oracle 8/8i â¢ Conformiq â¢ HP QC / QTP â¢ Crystal Report 8.5 Linguistic Skills English Hindi Marathi Tulu Education Details 
January 2013    Harvard
January 2004  Software Engineering  Aptech
January 2001 Bachelor of Commerce Commerce Mumbai, Maharashtra Mumbai University
Project Manager 

Project Manager - AT&T
Skill Details 
TESTING- Exprience - 63 months
ORACLE- Exprience - 6 months
SQL- Exprience - 6 months
AUDITS- Exprience - 6 months
CLIENT MANAGEMENT- Exprience - 6 monthsCompany Details 
company - AT&T
description - Thunderbird program is a O",11,19,8
17,Financial Analyst,"financial analyst  healthcare division full time  valley stream ny

join one of the most dynamic commercial real estate brokerage firms in the united states eastern union is one of americas largest commercial mortgage brokerage firms closing  billion in transactions annually

we are looking for a financial analyst for our healthcare division healthcare experience a plus this person should be a team player that will collaborate with the current team shine and be a part of an amazing and vibrant organization

we offer a stable and energized work environment with competitive compensation be prepared to work as part of a fastpaced team

financial analyst responsibilities
 assist in building financial models and analytic content
 prepare financial projections based on client input and market research
 prepare and present offering memorandam
 liaise between clients and banks
 assist with transaction due diligence gathering tracking and processing
 liaise with fund managers and network with i","CORE COMPETENCIES â¢ Maintain processes to ensure project management documentation, reports and plans are relevant, accurate and complete â¢ Report automation, Dashboard preparation and sharing feedbacks basis on performance of Project Manager â¢ Forecasting data regarding future risks, Project changes and updating the delivery team on timely basis â¢ Good understanding of project management lifecycle â¢ Proven excellence in Risk Management and control â¢ Good understanding of Software Development Lifecycle (SDLC) â¢ Ability to synthesize qualitative and quantitative data quickly and draw meaningful insights â¢ Knowledge of Programme/Project Management methodologies with full project reporting and governance â¢ Ability to work with different cross-functional stakeholders to establish and ensure a reliable and productive working relationship â¢ Strong time management and organizational skills â¢ Multitasking skills and ability to meet deadlines COMPUTER SKILLS AND CERTIFICATI",13,14,1
18,Senior Corporate Recruiter (Contract) - (Remote - US),"disqo is changing the way that the worlds largest brands agencies and consumer intelligence companies get to know their consumers weve built the first identitybased platform that combines consumer attitudes and behaviors together to power the most accurate and predictive insights solutions for our customers and we do all of that with the willing participation of our consumers and without using outdated technologies like thirdparty cookies we help our customers get a crossplatform view into consumer sentiment measure advertising effectiveness analyze consumer purchase journeys and ultimately grow their brands

our mission is to build the most trusted insights platform that fuels brand growth with over one million active members sharing their attitudes and behaviors disqo is looking to expand improve and create worldclass applications for people to openly share their data for research

hiring great technical talent is critical to the success of any company disqo is looking for an experie","Computer skills: - Yes. SQL knowledge-yes Unix knowledge-yes Data warehouse knowledge-yes Ab intio -yee MY HOBBIES: - â¢ Playing Cricket, football. â¢ Reading books â¢ Visiting new places/Travelling. DECLARATION:- I hereby declare that the above mentioned information is factual and correct up to the best of my knowledge and belief. Date: -.27.01.2019 MR. MANISH PRABHAKAR PATIL Place: -MUMBAI Education Details 
June 2014 to June 2015 Bachelor's Electronics and Telecommunication  A C Patil college of Engineering
January 2009 to January 2011  Engineering Navi Mumbai, Maharashtra Bharati vidyapeeth
January 2008 H.S.C.  Mumbai, Maharashtra Khalsa college
ETL Informatica Developer 

ETL DEVELOPER
Skill Details 
ETL- Exprience - Less than 1 year months
Data Warehouse- Exprience - Less than 1 year months
Datastage- Exprience - Less than 1 year monthsCompany Details 
company - Reliance Infocomm
description - I havevbeen working as ETL Developer in reliance industries in India for the past 3y",6,4,2
19,Sales Executive III Client Management,"position type  full time

type of hire  experienced relevant combo of work and education

education desired  bachelor of commercebusiness

travel percentage    

job descriptionat fis our technology and our people are moving forward we advance the way the world pays banks and invests we believe in building inclusive diverse teams together we innovate to help our colleagues clients and communities succeed if youre ready to grow your career and make an impact in fintech we have one question are you fis

about the role
as a sales executive  client management  quota carrier you will collaborate with the csuite level of finance legal and technical groups with a global fintech environment with endless opportunities for success provide industryleading solutions to prospective clients

about the team

what you will be doing
sell products and services
manage relationships
ensure alignment of client technology and business strategies
focus on account retention and continued revenue growth

what ","â Willingness to accept the challenges. â Positive thinking. â Good learner. â Team Player. DECLARATION: I hereby declare that the above mentioned information is correct up to my knowledge and I bear the responsibility for the correctness of the above mentioned particulars. Date: / / Name: Dongare Mandakini Murlidhar Signature: Education Details 
June 2015 Electronics and Telecommunication Engineering  Kolhapur, Maharashtra Shivaji University
June 2012  Education  Secondary and Higher Secondary
 B.E. Electronics and Telecommunication  Jaywant College of Engineering and Management
Testing Engineer 

Electronics Engineer - Abacus Electronics Pvt Ltd
Skill Details 
Language - C, C++- Exprience - Less than 1 year months
Operating Systems- Windows 7-8/NT/XP- Exprience - Less than 1 year monthsCompany Details 
company - Abacus Electronics Pvt Ltd
description - Duties:
â Perform electronic system testing for acceptance, compliance, warranty and other types.
â Develop test plan and",14,14,0
